"","seq_number","sum.taxonomy"
"318","merged_fishcard_12S_all_miu_175","Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Citharichthys;Citharichthys xanthostigma"
"319","merged_fishcard_12S_all_miu_180","Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;Ruscarius;Ruscarius creaseri"
"320","merged_fishcard_12S_all_miu_181","Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;"
"321","merged_fishcard_12S_all_miu_182","Eukaryota;Chordata;Mammalia;Primates;Aotidae;Aotus;"
"322","merged_fishcard_12S_all_miu_193",""
"323","merged_fishcard_12S_all_miu_195","Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis"
"324","merged_fishcard_12S_all_miu_199",""
"325","merged_fishcard_12S_all_miu_205","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"326","merged_fishcard_12S_all_miu_208",""
"327","merged_fishcard_12S_all_miu_209","Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;Myliobatis californica"
"328","merged_fishcard_12S_all_miu_212",""
"329","merged_fishcard_12S_all_miu_216",""
"330","merged_fishcard_12S_all_miu_221",""
"331","merged_fishcard_12S_all_miu_222",""
"332","merged_fishcard_12S_all_miu_238",""
"333","merged_fishcard_12S_all_miu_249",""
"334","merged_fishcard_12S_all_miu_263","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"335","merged_fishcard_12S_all_miu_280","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"336","merged_fishcard_12S_all_miu_288",""
"337","merged_fishcard_12S_all_miu_309",""
"338","merged_fishcard_12S_all_miu_316","Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;Pleuronichthys;Pleuronichthys ritteri"
"339","merged_fishcard_12S_all_miu_335",""
"340","merged_fishcard_12S_all_miu_372",""
"341","merged_fishcard_12S_all_miu_378","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"342","merged_fishcard_12S_all_miu_381",""
"343","merged_fishcard_12S_all_miu_399",""
