"","seq_number","sum.taxonomy"
"261","merged_CO1_6336",""
"262","merged_CO1_6337","Eukaryota;;;;;;"
"263","merged_Metazoa_16s_1","Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta setosa"
"264","merged_Metazoa_16s_2","Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;;"
"265","merged_Metazoa_16s_3",""
"266","merged_Metazoa_16s_4",""
"267","merged_Metazoa_16s_5","Eukaryota;Chordata;Actinopteri;;;;"
"268","merged_Metazoa_16s_6","Eukaryota;Annelida;Polychaeta;Spionida;Chaetopteridae;Chaetopterus;Chaetopterus variopedatus"
"269","merged_Metazoa_16s_7","Eukaryota;Mollusca;Bivalvia;Mytiloida;Mytilidae;;"
"270","merged_Metazoa_16s_8","Eukaryota;Arthropoda;Branchiopoda;Diplostraca;Podonidae;;"
"271","merged_Metazoa_16s_10","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"272","merged_Metazoa_16s_12","Eukaryota;Mollusca;Bivalvia;Mytiloida;Mytilidae;Xenostrobus;Xenostrobus securis"
"273","merged_Metazoa_16s_13","Eukaryota;Mollusca;Bivalvia;Mytiloida;Mytilidae;Modiolus;"
"274","merged_Metazoa_16s_14","Eukaryota;Chordata;Actinopteri;;;;"
"275","merged_Metazoa_16s_15","Eukaryota;Mollusca;Bivalvia;Veneroida;;;"
"276","merged_Metazoa_16s_16","Eukaryota;Nemertea;Palaeonemertea;;Tubulanidae;Tubulanus;Tubulanus sp. 1 TCH-2015"
"277","merged_Metazoa_16s_21","Eukaryota;Mollusca;Bivalvia;Mytiloida;Mytilidae;Xenostrobus;Xenostrobus securis"
"278","merged_Metazoa_16s_23","Eukaryota;Chordata;Actinopteri;;;;"
"279","merged_Metazoa_16s_25","Eukaryota;Chordata;Actinopteri;;;;"
"280","merged_Metazoa_16s_28","Eukaryota;Mollusca;Bivalvia;Mytiloida;Mytilidae;Mytilus;Mytilus chilensis"
"281","merged_Metazoa_16s_50","Eukaryota;Mollusca;Bivalvia;Veneroida;Cardiidae;Acanthocardia;"
"282","merged_Metazoa_16s_51","Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Thalamoporellidae;Thalamoporella;Thalamoporella californica"
"283","merged_Metazoa_16s_55","Eukaryota;Porifera;Demospongiae;Suberitida;Halichondriidae;Halichondria;"
"284","merged_Metazoa_16s_62",""
"285","merged_Metazoa_16s_76","Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;;;"
"286","merged_Metazoa_16s_83","Eukaryota;Arthropoda;Malacostraca;Decapoda;Sicyoniidae;Sicyonia;"
"287","merged_Metazoa_16s_86","Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Bugulidae;Bugula;Bugula neritina"
"288","merged_Metazoa_16s_88","Eukaryota;Echinodermata;Echinoidea;Clypeasteroida;Mellitidae;;"
"289","merged_Metazoa_16s_93","Eukaryota;Bryozoa;Gymnolaemata;Ctenostomatida;Vesiculariidae;Amathia;Amathia vidovici"
"290","merged_Metazoa_16s_96","Eukaryota;Arthropoda;;;;;"
"291","merged_Metazoa_16s_112","Eukaryota;Mollusca;Gastropoda;Trochida;Tegulidae;Tegula;"
"292","merged_Metazoa_16s_119",""
"293","merged_Metazoa_16s_120",""
"294","merged_Metazoa_16s_122","Eukaryota;Porifera;Demospongiae;;;;"
"295","merged_Metazoa_16s_151","Eukaryota;Bryozoa;Gymnolaemata;Ctenostomatida;Vesiculariidae;Amathia;Amathia vidovici"
"296","merged_Metazoa_16s_153","Eukaryota;Porifera;Demospongiae;;;;"
"297","merged_Metazoa_16s_167","Eukaryota;Rotifera;Monogononta;Ploima;Synchaetidae;Synchaeta;Synchaeta cf. pectinata"
"298","merged_Metazoa_16s_175","Eukaryota;Cnidaria;Anthozoa;Alcyonacea;;;"
"299","merged_Metazoa_16s_184",""
"300","merged_Metazoa_16s_190",""
"301","merged_Metazoa_16s_194",""
"302","merged_Metazoa_16s_217","Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Bugulidae;Bugulina;Bugulina fulva"
"303","merged_Metazoa_16s_219",""
"304","merged_Metazoa_16s_270","Eukaryota;Porifera;Demospongiae;Suberitida;Halichondriidae;;"
"305","merged_Metazoa_16s_283","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"306","merged_Metazoa_16s_345","Eukaryota;Echinodermata;Ophiuroidea;Ophiurida;Ophiotrichidae;Ophiothrix;Ophiothrix angulata"
"307","merged_Metazoa_16s_414","Eukaryota;Arthropoda;;;;;"
"308","merged_Metazoa_16s_446","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"309","merged_Metazoa_16s_494","Eukaryota;Arthropoda;;;;;"
"310","merged_Metazoa_16s_529","Eukaryota;Mollusca;Bivalvia;Veneroida;Tellinidae;;"
"311","merged_Metazoa_16s_555","Eukaryota;;;;;;"
"312","merged_Metazoa_16s_559","Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;;;"
"313","merged_Metazoa_16s_595",""
"314","merged_Metazoa_16s_638","Eukaryota;Echinodermata;Ophiuroidea;Ophiurida;Ophiodermatidae;Ophioderma;"
"315","merged_Metazoa_16s_711","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"316","merged_Metazoa_16s_926","Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;;;"
"317","merged_Metazoa_16s_1310",""
"318","merged_Metazoa_16s_1345",""
"319","merged_Metazoa_16s_1420",""
"320","merged_Metazoa_16s_1481","Eukaryota;Arthropoda;Insecta;Diptera;Chironomidae;Chironomus;Chironomus tepperi"
"321","merged_Metazoa_16s_1776",""
