Seq_number	New_name	Site	Bio_rep	Site_station	Station	Tech_rep	Replicate_per_station	k	k_station	Time_passed_h	Start_volume_mL	End_volume_mL	Volume_filtered_mL	Latitude	Longitude	Salinity	DO_mg_l	pH	CTD_depth	Sample_control	Control_Type
LA11.4.R3.S3.L001	LA11_4_3	LA11	4	LA11_4	S3	3	12	12	3	40	1000	40	960	33.71043333	-118.2545833	34.38	7.32	8.24	13.8	Sample	NA
LA11.4.R3.S36.L001	LA11_4_3	LA11	4	LA11_4	S3	3	12	12	3	40	1000	40	960	33.71043333	-118.2545833	34.38	7.32	8.24	13.8	Sample	NA
LA11.Blank.S90.L001	Blank_2	LA11	Blank	Blank	NA	Blank	NA	NA	3	40	1000	0	1000	NA	NA	NA	NA	NA	NA	Control	Blank
LA14.1.R1.S37.L001	LA14_1_1	LA14	1	LA14_1	S4	1	1	12	3	40	1000	110	890	33.77496667	-118.24595	34.44	6.3	8.15	6.98	Sample	NA
LA14.1.R2.S38.L001	LA14_1_2	LA14	1	LA14_1	S4	2	2	12	3	40	1000	100	900	33.77496667	-118.24595	34.44	6.3	8.15	6.98	Sample	NA
LA14.1.R3.S39.L001	LA14_1_3	LA14	1	LA14_1	S4	3	3	12	3	40	1000	90	910	33.77496667	-118.24595	34.44	6.3	8.15	6.98	Sample	NA
LA14.2.R1.S40.L001	LA14_2_1	LA14	2	LA14_2	S4	1	4	12	3	40	1000	90	910	33.7739	-118.2478333	34.4	6.62	8.18	6.43	Sample	NA
LA14.2.R2.S41.L001	LA14_2_2	LA14	2	LA14_2	S4	2	5	12	3	40	1000	0	1000	33.7739	-118.2478333	34.4	6.62	8.18	6.43	Sample	NA
LA14.2.R3.S42.L001	LA14_2_3	LA14	2	LA14_2	S4	3	6	12	3	40	1000	0	1000	33.7739	-118.2478333	34.4	6.62	8.18	6.43	Sample	NA
LA14.3.R1.S43.L001	LA14_3_1	LA14	3	LA14_3	S4	1	7	12	3	40	1000	180	820	33.772	-118.2491833	34.39	6.28	8.17	10.04	Sample	NA
LA14.3.R2.S44.L001	LA14_3_2	LA14	3	LA14_3	S4	2	8	12	3	40	1000	190	810	33.772	-118.2491833	34.39	6.28	8.17	10.04	Sample	NA
LA14.3.R3.S45.L001	LA14_3_3	LA14	3	LA14_3	S4	3	9	12	3	40	1000	100	900	33.772	-118.2491833	34.39	6.28	8.17	10.04	Sample	NA
LA14.4.R1.S46.L001	LA14_4_1	LA14	4	LA14_4	S4	1	10	12	3	40	1000	140	860	33.76988333	-118.2506167	34.4	6.27	8.18	11.93	Sample	NA
LA14.4.R2.S47.L001	LA14_4_2	LA14	4	LA14_4	S4	2	11	12	3	40	1000	80	920	33.76988333	-118.2506167	34.4	6.27	8.18	11.93	Sample	NA
LA14.4.R3.S2.L001	LA14_4_3	LA14	4	LA14_4	S4	3	12	12	3	40	1000	100	900	33.76988333	-118.2506167	34.4	6.27	8.18	11.93	Sample	NA
LA14.4.R3.S48.L001	LA14_4_3	LA14	4	LA14_4	S4	3	12	12	3	40	1000	100	900	33.76988333	-118.2506167	34.4	6.27	8.18	11.93	Sample	NA
LA14.Blank.S91.L001	Blank_3	LA14	Blank	Blank	NA	Blank	NA	NA	3	40	1000	0	1000	NA	NA	NA	NA	NA	NA	Control	Blank
LA6.1.R1.S13.L001	LA6_1_1	LA6	1	LA6_1	S2	1	1	12	3	40	1000	0	1000	33.76423333	-118.25425	34.36	6.2	8.16	16.5	Sample	NA
LA6.1.R2.S14.L001	LA6_1_2	LA6	1	LA6_1	S2	2	2	12	3	40	1000	0	1000	33.76423333	-118.25425	34.36	6.2	8.16	16.5	Sample	NA
LA6.1.R3.S15.L001	LA6_1_3	LA6	1	LA6_1	S2	3	3	12	3	40	1000	0	1000	33.76423333	-118.25425	34.36	6.2	8.16	16.5	Sample	NA
LA6.2.R1.S16.L001	LA6_2_1	LA6	2	LA6_2	S2	1	4	12	3	40	1000	15	985	33.76255	-118.25595	34.35	7.08	8.19	16.3	Sample	NA
LA6.2.R2.S17.L001	LA6_2_2	LA6	2	LA6_2	S2	2	5	12	3	40	1000	0	1000	33.76255	-118.25595	34.35	7.08	8.19	16.3	Sample	NA
LA6.2.R3.S18.L001	LA6_2_3	LA6	2	LA6_2	S2	3	6	12	3	40	1000	5	995	33.76255	-118.25595	34.35	7.08	8.19	16.3	Sample	NA
LA6.3.R1.S19.L001	LA6_3_1	LA6	3	LA6_3	S2	1	7	12	3	40	1000	0	1000	33.7613	-118.2577	34.35	7.1	8.2	16	Sample	NA
LA6.3.R2.S20.L001	LA6_3_2	LA6	3	LA6_3	S2	2	8	12	3	40	1000	0	1000	33.7613	-118.2577	34.35	7.1	8.2	16	Sample	NA
LA6.3.R3.S21.L001	LA6_3_3	LA6	3	LA6_3	S2	3	9	12	3	40	1000	0	1000	33.7613	-118.2577	34.35	7.1	8.2	16	Sample	NA
LA6.4.R1.S22.L001	LA6_4_1	LA6	4	LA6_4	S2	1	10	12	3	40	1000	0	1000	33.75933333	-118.2595167	34.34	8.33	8.2	17.19	Sample	NA
LA6.4.R2.S23.L001	LA6_4_2	LA6	4	LA6_4	S2	2	11	12	3	40	1000	0	1000	33.75933333	-118.2595167	34.34	8.33	8.2	17.19	Sample	NA
LA6.4.R3.S4.L001	LA6_4_3	LA6	4	LA6_4	S2	3	12	12	3	40	1000	0	1000	33.75933333	-118.2595167	34.34	8.33	8.2	17.19	Sample	NA
LA6.4.R3.S24.L001	LA6_4_3	LA6	4	LA6_4	S2	3	12	12	3	40	1000	0	1000	33.75933333	-118.2595167	34.34	8.33	8.2	17.19	Sample	NA
LA6.Blank.S89.L001	Blank_4	LA6	Blank	Blank	NA	Blank	NA	NA	3	40	1000	0	1000	NA	NA	NA	NA	NA	NA	Control	Blank
LB2.1.R1.S61.L001	LB2_1_1	LB2	1	LB2_1	S6	1	1	12	3	40	1000	180	820	33.7313	-118.23742	34.22	8.55	8.27	5.48	Sample	NA
LB2.1.R2.S62.L001	LB2_1_2	LB2	1	LB2_1	S6	2	2	12	3	40	1000	150	850	33.7313	-118.23742	34.22	8.55	8.27	5.48	Sample	NA
LB2.1.R3.S63.L001	LB2_1_3	LB2	1	LB2_1	S6	3	3	12	3	40	1000	200	800	33.7313	-118.23742	34.22	8.55	8.27	5.48	Sample	NA
LB2.2.R1.S64.L001	LB2_2_1	LB2	2	LB2_2	S6	1	4	12	3	40	1000	320	680	33.73273333	-118.23795	34.32	8.27	8.28	3.9	Sample	NA
LB2.2.R2.S65.L001	LB2_2_2	LB2	2	LB2_2	S6	2	5	12	3	40	1000	200	800	33.73273333	-118.23795	34.32	8.27	8.28	3.9	Sample	NA
LB2.2.R3.S66.L001	LB2_2_3	LB2	2	LB2_2	S6	3	6	12	3	40	1000	300	700	33.73273333	-118.23795	34.32	8.27	8.28	3.9	Sample	NA
LB2.3.R1.S67.L001	LB2_3_1	LB2	3	LB2_3	S6	1	7	12	3	40	1000	200	800	33.7341	-118.2384167	34.35	7.61	8.31	4.1	Sample	NA
LB2.3.R2.S68.L001	LB2_3_2	LB2	3	LB2_3	S6	2	8	12	3	40	1000	200	800	33.7341	-118.2384167	34.35	7.61	8.31	4.1	Sample	NA
LB2.3.R3.S69.L001	LB2_3_3	LB2	3	LB2_3	S6	3	9	12	3	40	1000	50	950	33.7341	-118.2384167	34.35	7.61	8.31	4.1	Sample	NA
LB2.4.R1.S70.L001	LB2_4_1	LB2	4	LB2_4	S6	1	10	12	3	40	1000	250	750	33.73483333	-118.2388167	34.34	7.06	8.29	5.6	Sample	NA
LB2.4.R2.S71.L001	LB2_4_2	LB2	4	LB2_4	S6	2	11	12	3	40	1000	300	700	33.73483333	-118.2388167	34.34	7.06	8.29	5.6	Sample	NA
LB2.4.R3.S5.L001	LB2_4_3	LB2	4	LB2_4	S6	3	12	12	3	40	1000	50	950	33.73483333	-118.2388167	34.34	7.06	8.29	5.6	Sample	NA
