,Location,t,method,order,qD,qD.LCL,qD.UCL,SC,SC.LCL,SC.UCL,Level,Station
142,3,42,extrapolated,0,64.083,56.581,71.585,1,1,1,Location,S1
143,3,43,extrapolated,0,64.083,56.581,71.585,1,1,1,Location,S1
144,3,44,extrapolated,0,64.083,56.581,71.585,1,1,1,Location,S1
145,3,45,extrapolated,0,64.083,56.581,71.585,1,1,1,Location,S1
146,3,46,extrapolated,0,64.083,56.581,71.585,1,1,1,Location,S1
147,3,47,extrapolated,0,64.083,56.581,71.585,1,1,1,Location,S1
148,3,48,extrapolated,0,64.083,56.581,71.585,1,1,1,Location,S1
149,3,49,extrapolated,0,64.083,56.581,71.585,1,1,1,Location,S1
150,3,50,extrapolated,0,64.083,56.581,71.585,1,1,1,Location,S1
151,4,1,interpolated,0,48,44.734,51.266,0.799,0.764,0.833,Location,S1
152,4,2,interpolated,0,57.667,53.21,62.124,0.868,0.835,0.902,Location,S1
153,4,3,observed,0,64,58.987,69.013,0.914,0.877,0.951,Location,S1
154,4,4,extrapolated,0,68.149,62.505,73.794,0.943,0.908,0.979,Location,S1
155,4,5,extrapolated,0,70.868,64.382,77.354,0.963,0.931,0.995,Location,S1
156,4,6,extrapolated,0,72.649,65.239,80.059,0.976,0.949,1,Location,S1
157,4,7,extrapolated,0,73.816,65.522,82.11,0.984,0.962,1,Location,S1
158,4,8,extrapolated,0,74.581,65.501,83.661,0.99,0.971,1,Location,S1
159,4,9,extrapolated,0,75.082,65.332,84.831,0.993,0.978,1,Location,S1
160,4,10,extrapolated,0,75.41,65.105,85.714,0.996,0.983,1,Location,S1
161,4,11,extrapolated,0,75.625,64.866,86.384,0.997,0.987,1,Location,S1
162,4,12,extrapolated,0,75.766,64.639,86.892,0.998,0.99,1,Location,S1
163,4,13,extrapolated,0,75.858,64.436,87.28,0.999,0.992,1,Location,S1
164,4,14,extrapolated,0,75.918,64.259,87.577,0.999,0.994,1,Location,S1
165,4,15,extrapolated,0,75.958,64.11,87.806,0.999,0.995,1,Location,S1
166,4,16,extrapolated,0,75.984,63.985,87.983,1,0.996,1,Location,S1
167,4,17,extrapolated,0,76.001,63.882,88.12,1,0.997,1,Location,S1
168,4,18,extrapolated,0,76.012,63.798,88.226,1,0.998,1,Location,S1
169,4,19,extrapolated,0,76.019,63.729,88.31,1,0.998,1,Location,S1
170,4,20,extrapolated,0,76.024,63.674,88.375,1,0.999,1,Location,S1
171,4,21,extrapolated,0,76.027,63.629,88.426,1,0.999,1,Location,S1
172,4,22,extrapolated,0,76.029,63.593,88.466,1,0.999,1,Location,S1
173,4,23,extrapolated,0,76.031,63.564,88.498,1,0.999,1,Location,S1
174,4,24,extrapolated,0,76.032,63.54,88.523,1,0.999,1,Location,S1
175,4,25,extrapolated,0,76.032,63.522,88.543,1,1,1,Location,S1
176,4,26,extrapolated,0,76.033,63.507,88.558,1,1,1,Location,S1
177,4,27,extrapolated,0,76.033,63.495,88.571,1,1,1,Location,S1
178,4,28,extrapolated,0,76.033,63.485,88.581,1,1,1,Location,S1
179,4,29,extrapolated,0,76.033,63.478,88.589,1,1,1,Location,S1
180,4,30,extrapolated,0,76.033,63.471,88.595,1,1,1,Location,S1
181,4,31,extrapolated,0,76.033,63.466,88.6,1,1,1,Location,S1
182,4,32,extrapolated,0,76.033,63.463,88.604,1,1,1,Location,S1
183,4,33,extrapolated,0,76.033,63.459,88.607,1,1,1,Location,S1
184,4,34,extrapolated,0,76.033,63.457,88.61,1,1,1,Location,S1
185,4,35,extrapolated,0,76.033,63.455,88.612,1,1,1,Location,S1
186,4,36,extrapolated,0,76.033,63.453,88.613,1,1,1,Location,S1
187,4,37,extrapolated,0,76.033,63.452,88.615,1,1,1,Location,S1
188,4,38,extrapolated,0,76.033,63.451,88.616,1,1,1,Location,S1
189,4,39,extrapolated,0,76.033,63.45,88.617,1,1,1,Location,S1
190,4,40,extrapolated,0,76.033,63.449,88.617,1,1,1,Location,S1
191,4,41,extrapolated,0,76.033,63.449,88.618,1,1,1,Location,S1
192,4,42,extrapolated,0,76.033,63.448,88.618,1,1,1,Location,S1
193,4,43,extrapolated,0,76.033,63.448,88.619,1,1,1,Location,S1
194,4,44,extrapolated,0,76.033,63.448,88.619,1,1,1,Location,S1
195,4,45,extrapolated,0,76.033,63.448,88.619,1,1,1,Location,S1
196,4,46,extrapolated,0,76.033,63.447,88.619,1,1,1,Location,S1
197,4,47,extrapolated,0,76.033,63.447,88.619,1,1,1,Location,S1
198,4,48,extrapolated,0,76.033,63.447,88.62,1,1,1,Location,S1
199,4,49,extrapolated,0,76.033,63.447,88.62,1,1,1,Location,S1
200,4,50,extrapolated,0,76.033,63.447,88.62,1,1,1,Location,S1
201,1,1,interpolated,0,38.667,36.166,41.168,0.776,0.732,0.819,Location,S2
202,1,2,interpolated,0,47.333,43.913,50.754,0.879,0.833,0.925,Location,S2
203,1,3,observed,0,52,48.033,55.967,0.935,0.889,0.982,Location,S2
204,1,4,extrapolated,0,54.513,49.747,59.279,0.965,0.924,1,Location,S2
205,1,5,extrapolated,0,55.866,50.161,61.57,0.981,0.946,1,Location,S2
206,1,6,extrapolated,0,56.594,49.987,63.202,0.99,0.961,1,Location,S2
207,1,7,extrapolated,0,56.987,49.583,64.391,0.995,0.971,1,Location,S2
208,1,8,extrapolated,0,57.198,49.117,65.279,0.997,0.977,1,Location,S2
209,1,9,extrapolated,0,57.312,48.662,65.961,0.998,0.982,1,Location,S2
210,1,10,extrapolated,0,57.373,48.248,66.498,0.999,0.985,1,Location,S2
211,1,11,extrapolated,0,57.406,47.883,66.929,1,0.988,1,Location,S2
212,1,12,extrapolated,0,57.424,47.565,67.282,1,0.99,1,Location,S2
213,1,13,extrapolated,0,57.433,47.291,67.575,1,0.991,1,Location,S2
214,1,14,extrapolated,0,57.438,47.056,67.82,1,0.993,1,Location,S2
215,1,15,extrapolated,0,57.441,46.855,68.028,1,0.994,1,Location,S2
216,1,16,extrapolated,0,57.443,46.681,68.204,1,0.994,1,Location,S2
217,1,17,extrapolated,0,57.444,46.532,68.355,1,0.995,1,Location,S2
218,1,18,extrapolated,0,57.444,46.404,68.484,1,0.996,1,Location,S2
219,1,19,extrapolated,0,57.444,46.293,68.596,1,0.996,1,Location,S2
220,1,20,extrapolated,0,57.444,46.197,68.692,1,0.997,1,Location,S2
221,1,21,extrapolated,0,57.444,46.114,68.774,1,0.997,1,Location,S2
222,1,22,extrapolated,0,57.444,46.042,68.846,1,0.998,1,Location,S2
223,1,23,extrapolated,0,57.444,45.98,68.909,1,0.998,1,Location,S2
224,1,24,extrapolated,0,57.444,45.926,68.963,1,0.998,1,Location,S2
225,1,25,extrapolated,0,57.444,45.879,69.01,1,0.998,1,Location,S2
226,1,26,extrapolated,0,57.444,45.839,69.05,1,0.999,1,Location,S2
