sum.taxonomy,LA11,LA14,LA3,LA6,LB1,LB14,LB2
;;;;;;,45,12,62,44,109,50,7
Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Lepraliellidae;Celleporaria;,20,0,54,0,3,0,0
Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Lepraliellidae;Celleporaria;NA,26,24,39,0,9,21,6
Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Membraniporidae;Membranipora;Membranipora grandicella,3258,0,272,0,237,0,458
Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Membraniporidae;Membranipora;Membranipora membranacea,150,2,13,0,49,6,40
Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Phidoloporidae;Phidolopora;Phidolopora pacifica,4140,0,455,12,706,17,19
Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Phidoloporidae;Rhynchozoon;Rhynchozoon sp. MHD-2004,4453,0,1696,210,2134,98,3919
Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Savignyellidae;Savigyniella;Savigyniella lafonti,0,0,139,25,0,0,108
Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Scrupariidae;Scruparia;Scruparia sp. H729,73,0,406,414,1049,179,702
Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Thalamoporellidae;Thalamoporella;Thalamoporella californica,3760,3672,9359,2777,842,4240,8612
Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Watersiporidae;Watersipora;,0,476,266,567,0,111,672
Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Watersiporidae;Watersipora;Watersipora subovoidea,0,0,12,0,10,0,6
Eukaryota;Bryozoa;Gymnolaemata;Ctenostomatida;Alcyonidiidae;Alcyonidium;Alcyonidium sp. ALCY-1,1459,258,88,88,0,9256,19
Eukaryota;Bryozoa;Gymnolaemata;Ctenostomatida;Nolellidae;Anguinella;Anguinella palmata,607,0,282,61,107,14,1385
Eukaryota;Bryozoa;Gymnolaemata;Ctenostomatida;Paludicellidae;Paludicella;Paludicella articulata,35,1081,0,7124,501,40431,0
Eukaryota;Bryozoa;Gymnolaemata;Ctenostomatida;Vesiculariidae;Amathia;,2554,286,328,316,0,0,3129
Eukaryota;Bryozoa;Gymnolaemata;Ctenostomatida;Vesiculariidae;Amathia;Amathia cf. gracilis AW-2014,551,171,883,776,602,136,3304
Eukaryota;Bryozoa;Gymnolaemata;Ctenostomatida;Vesiculariidae;Amathia;Amathia vidovici,4262,7363,3324,11897,6341,7160,18451
Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta setosa,539094,212133,80657,169750,139681,148211,38231
Eukaryota;Chlorophyta;;;;;,0,0,10,2,29,19,0
Eukaryota;Chlorophyta;Chloropicophyceae;Chloropicales;Chloropicaceae;Chloropicon;Chloropicon primus,70,0,15,39,49,30,30
Eukaryota;Chlorophyta;Mamiellophyceae;Dolichomastigales;Dolichomastigaceae;Dolichomastix;Dolichomastix tenuilepis,269,19,519,10,540,67,309
